names,cas number,smiles,kso4,kOH_rescale,chemical class,Set
2-Methylpropan-1-ol,78-83-1,CC(C)CO,"1,30E+08","0,654695609",Alcohol,train
methyl 2-methylprop-2-enoate,80-62-6,COC(=O)C(C)=C,"1,00E+09","0,803064817",Ester,train
4-amino-1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one,951-77-9,NC1=NC(=O)N(C=C1)C2CC(O)C(CO)O2,"2,40E+09","0,866730769",Amine,train
2-CHLORONAPHTHALENE,91-58-7,Clc1ccc2ccccc2c1,"1,10E+09","0,809995976",Halogen,train
"3-methyl-1H-pyrimidine-2,4-dione",608-34-4,CN1C(=O)NC=CC1=O,"3,30E+09","0,889889404",Amine,train
BENZOATE,766-76-7,[O-]C(=O)c1ccccc1,"1,20E+09","0,816323629",CarboxylicAcid,train
benzoic acid,65-85-0,OC(=O)c1ccccc1,"1,20E+09","0,816323629",CarboxylicAcid,train
"1,2,3,4,5,6-hexafluorobenzene",392-56-3,Fc1c(F)c(F)c(F)c(F)c1F,"7,10E+08","0,778158191",Halogen,train
FORMATE,71-47-6,[O-]C=O,"1,11E+08","0,643205203",CarboxylicAcid,train
Propan-1-ol,71-23-8,CCCO,"5,90E+07","0,597245342",Alcohol,train
1-Chloro-2-(trifluoromethyl)benzene,88-16-4,FC(F)(F)c1ccccc1Cl,"1,00E+08","0,63561592",Halogen,train
"1,3-Dimethoxybenzene",151-10-0,COc1cccc(OC)c1,"7,00E+09","0,944575551",Ether,train
HYDROXYLAMINE,7803-49-8,NO,"8,50E+08","0,791246094",Amine,train
1-Chloro-3-fluorobenzene,625-98-9,Fc1cccc(Cl)c1,"1,00E+09","0,803064817",Halogen,train
2-Fluoronaphthalene,323-09-1,Fc1ccc2ccccc2c1,"1,40E+09","0,827533795",Halogen,train
"2-aminobenzene-1,4-disulfonate",6994216,Nc1cc(ccc1[S]([O-])(=O)=O)[S]([O-])(=O)=O,"1,80E+09","0,845809916",Amine,train
4-bromobenzoate,16449-27-7,[O-]C(=O)c1ccc(Br)cc1,"1,00E+09","0,803064817",CarboxylicAcid,train
"1-Methyl-2,4-dinitrobenzene",121-14-2,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,"6,60E+06","0,437949855",Nitro,train
2-hydroxyacetate,79-14-1,OCC([O-])=O,"1,60E+07","0,502346689",CarboxylicAcid,train
